,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,class
280,b'A14',15.0,b'A34',b'A41',3368.0,b'A64',b'A75',3.0,b'A93',b'A101',4.0,b'A124',23.0,b'A143',b'A151',2.0,b'A173',1.0,b'A192',b'A201',1
281,b'A14',12.0,b'A32',b'A42',1574.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A121',50.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
282,b'A13',18.0,b'A31',b'A43',1445.0,b'A65',b'A74',4.0,b'A93',b'A101',4.0,b'A123',49.0,b'A141',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
283,b'A14',15.0,b'A34',b'A42',1520.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A122',63.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
284,b'A12',24.0,b'A34',b'A40',3878.0,b'A62',b'A72',4.0,b'A91',b'A101',2.0,b'A123',37.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
285,b'A11',47.0,b'A32',b'A40',10722.0,b'A61',b'A72',1.0,b'A92',b'A101',1.0,b'A121',35.0,b'A143',b'A152',1.0,b'A172',1.0,b'A192',b'A201',1
286,b'A11',48.0,b'A32',b'A41',4788.0,b'A61',b'A74',4.0,b'A93',b'A101',3.0,b'A122',26.0,b'A143',b'A152',1.0,b'A173',2.0,b'A191',b'A201',1
287,b'A12',48.0,b'A33',b'A41',7582.0,b'A62',b'A71',2.0,b'A93',b'A101',4.0,b'A124',31.0,b'A143',b'A153',1.0,b'A174',1.0,b'A192',b'A201',1
288,b'A12',12.0,b'A32',b'A43',1092.0,b'A61',b'A73',4.0,b'A92',b'A103',4.0,b'A121',49.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
289,b'A11',24.0,b'A33',b'A43',1024.0,b'A61',b'A72',4.0,b'A94',b'A101',4.0,b'A121',48.0,b'A142',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
290,b'A14',12.0,b'A32',b'A49',1076.0,b'A61',b'A73',2.0,b'A94',b'A101',2.0,b'A121',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A202',1
291,b'A12',36.0,b'A32',b'A41',9398.0,b'A61',b'A72',1.0,b'A94',b'A101',4.0,b'A123',28.0,b'A143',b'A151',1.0,b'A174',1.0,b'A192',b'A201',2
292,b'A11',24.0,b'A34',b'A41',6419.0,b'A61',b'A75',2.0,b'A92',b'A101',4.0,b'A124',44.0,b'A143',b'A153',2.0,b'A174',2.0,b'A192',b'A201',1
293,b'A13',42.0,b'A34',b'A41',4796.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A124',56.0,b'A143',b'A153',1.0,b'A173',1.0,b'A191',b'A201',1
294,b'A14',48.0,b'A34',b'A49',7629.0,b'A65',b'A75',4.0,b'A91',b'A101',2.0,b'A123',46.0,b'A141',b'A152',2.0,b'A174',2.0,b'A191',b'A201',1
295,b'A12',48.0,b'A32',b'A42',9960.0,b'A61',b'A72',1.0,b'A92',b'A101',2.0,b'A123',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',2
296,b'A14',12.0,b'A32',b'A41',4675.0,b'A65',b'A72',1.0,b'A92',b'A101',4.0,b'A123',20.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
297,b'A14',10.0,b'A32',b'A40',1287.0,b'A65',b'A75',4.0,b'A93',b'A102',2.0,b'A122',45.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A202',1
298,b'A14',18.0,b'A32',b'A42',2515.0,b'A61',b'A73',3.0,b'A93',b'A101',4.0,b'A121',43.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
299,b'A12',21.0,b'A34',b'A42',2745.0,b'A64',b'A74',3.0,b'A93',b'A101',2.0,b'A123',32.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
300,b'A14',6.0,b'A32',b'A40',672.0,b'A61',b'A71',1.0,b'A92',b'A101',4.0,b'A121',54.0,b'A143',b'A152',1.0,b'A171',1.0,b'A192',b'A201',1
301,b'A12',36.0,b'A30',b'A43',3804.0,b'A61',b'A73',4.0,b'A92',b'A101',1.0,b'A123',42.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',2
302,b'A13',24.0,b'A34',b'A40',1344.0,b'A65',b'A74',4.0,b'A93',b'A101',2.0,b'A121',37.0,b'A141',b'A152',2.0,b'A172',2.0,b'A191',b'A201',2
303,b'A11',10.0,b'A34',b'A40',1038.0,b'A61',b'A74',4.0,b'A93',b'A102',3.0,b'A122',49.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
304,b'A14',48.0,b'A34',b'A40',10127.0,b'A63',b'A73',2.0,b'A93',b'A101',2.0,b'A124',44.0,b'A141',b'A153',1.0,b'A173',1.0,b'A191',b'A201',2
305,b'A14',6.0,b'A32',b'A42',1543.0,b'A64',b'A73',4.0,b'A91',b'A101',2.0,b'A121',33.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
306,b'A14',30.0,b'A32',b'A41',4811.0,b'A65',b'A74',2.0,b'A92',b'A101',4.0,b'A122',24.0,b'A142',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
307,b'A11',12.0,b'A32',b'A43',727.0,b'A62',b'A72',4.0,b'A94',b'A101',3.0,b'A124',33.0,b'A143',b'A152',1.0,b'A172',1.0,b'A192',b'A201',2
308,b'A12',8.0,b'A32',b'A42',1237.0,b'A61',b'A73',3.0,b'A92',b'A101',4.0,b'A121',24.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
309,b'A12',9.0,b'A32',b'A40',276.0,b'A61',b'A73',4.0,b'A94',b'A101',4.0,b'A121',22.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
310,b'A12',48.0,b'A32',b'A41',5381.0,b'A65',b'A71',3.0,b'A93',b'A101',4.0,b'A124',40.0,b'A141',b'A153',1.0,b'A171',1.0,b'A192',b'A201',1
311,b'A14',24.0,b'A32',b'A42',5511.0,b'A62',b'A73',4.0,b'A93',b'A101',1.0,b'A123',25.0,b'A142',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
312,b'A13',24.0,b'A32',b'A42',3749.0,b'A61',b'A72',2.0,b'A92',b'A101',4.0,b'A123',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
313,b'A12',12.0,b'A32',b'A40',685.0,b'A61',b'A74',2.0,b'A94',b'A101',3.0,b'A123',25.0,b'A141',b'A152',1.0,b'A172',1.0,b'A191',b'A201',2
314,b'A13',4.0,b'A32',b'A40',1494.0,b'A65',b'A72',1.0,b'A93',b'A101',2.0,b'A121',29.0,b'A143',b'A152',1.0,b'A172',2.0,b'A191',b'A202',1
315,b'A11',36.0,b'A31',b'A42',2746.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A123',31.0,b'A141',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
316,b'A11',12.0,b'A32',b'A42',708.0,b'A61',b'A73',2.0,b'A93',b'A103',3.0,b'A122',38.0,b'A143',b'A152',1.0,b'A172',2.0,b'A191',b'A201',1
317,b'A12',24.0,b'A32',b'A42',4351.0,b'A65',b'A73',1.0,b'A92',b'A101',4.0,b'A122',48.0,b'A143',b'A152',1.0,b'A172',1.0,b'A192',b'A201',1
318,b'A14',12.0,b'A34',b'A46',701.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A123',32.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
319,b'A11',15.0,b'A33',b'A42',3643.0,b'A61',b'A75',1.0,b'A92',b'A101',4.0,b'A122',27.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
320,b'A12',30.0,b'A34',b'A40',4249.0,b'A61',b'A71',4.0,b'A94',b'A101',2.0,b'A123',28.0,b'A143',b'A152',2.0,b'A174',1.0,b'A191',b'A201',2
321,b'A11',24.0,b'A32',b'A43',1938.0,b'A61',b'A72',4.0,b'A91',b'A101',3.0,b'A122',32.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
322,b'A11',24.0,b'A32',b'A41',2910.0,b'A61',b'A74',2.0,b'A93',b'A101',1.0,b'A124',34.0,b'A143',b'A153',1.0,b'A174',1.0,b'A192',b'A201',1
323,b'A11',18.0,b'A32',b'A42',2659.0,b'A64',b'A73',4.0,b'A93',b'A101',2.0,b'A123',28.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
324,b'A14',18.0,b'A34',b'A40',1028.0,b'A61',b'A73',4.0,b'A92',b'A101',3.0,b'A121',36.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
325,b'A11',8.0,b'A34',b'A40',3398.0,b'A61',b'A74',1.0,b'A93',b'A101',4.0,b'A121',39.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A202',1
326,b'A14',12.0,b'A34',b'A42',5801.0,b'A65',b'A75',2.0,b'A93',b'A101',4.0,b'A122',49.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
327,b'A14',24.0,b'A32',b'A40',1525.0,b'A64',b'A74',4.0,b'A92',b'A101',3.0,b'A123',34.0,b'A143',b'A152',1.0,b'A173',2.0,b'A192',b'A201',1
328,b'A13',36.0,b'A32',b'A43',4473.0,b'A61',b'A75',4.0,b'A93',b'A101',2.0,b'A123',31.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
329,b'A12',6.0,b'A32',b'A43',1068.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A123',28.0,b'A143',b'A152',1.0,b'A173',2.0,b'A191',b'A201',1
330,b'A11',24.0,b'A34',b'A41',6615.0,b'A61',b'A71',2.0,b'A93',b'A101',4.0,b'A124',75.0,b'A143',b'A153',2.0,b'A174',1.0,b'A192',b'A201',1
331,b'A14',18.0,b'A34',b'A46',1864.0,b'A62',b'A73',4.0,b'A92',b'A101',2.0,b'A121',30.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',2
332,b'A12',60.0,b'A32',b'A40',7408.0,b'A62',b'A72',4.0,b'A92',b'A101',2.0,b'A122',24.0,b'A143',b'A152',1.0,b'A174',1.0,b'A191',b'A201',2
333,b'A14',48.0,b'A34',b'A41',11590.0,b'A62',b'A73',2.0,b'A92',b'A101',4.0,b'A123',24.0,b'A141',b'A151',2.0,b'A172',1.0,b'A191',b'A201',2
334,b'A11',24.0,b'A30',b'A42',4110.0,b'A61',b'A75',3.0,b'A93',b'A101',4.0,b'A124',23.0,b'A141',b'A151',2.0,b'A173',2.0,b'A191',b'A201',2
335,b'A11',6.0,b'A34',b'A42',3384.0,b'A61',b'A73',1.0,b'A91',b'A101',4.0,b'A121',44.0,b'A143',b'A151',1.0,b'A174',1.0,b'A192',b'A201',2
336,b'A12',13.0,b'A32',b'A43',2101.0,b'A61',b'A72',2.0,b'A92',b'A103',4.0,b'A122',23.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
337,b'A11',15.0,b'A32',b'A44',1275.0,b'A65',b'A73',4.0,b'A92',b'A101',2.0,b'A123',24.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
338,b'A11',24.0,b'A32',b'A42',4169.0,b'A61',b'A73',4.0,b'A93',b'A101',4.0,b'A122',28.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
339,b'A12',10.0,b'A32',b'A42',1521.0,b'A61',b'A73',4.0,b'A91',b'A101',2.0,b'A123',31.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
340,b'A12',24.0,b'A34',b'A46',5743.0,b'A61',b'A72',2.0,b'A92',b'A101',4.0,b'A124',24.0,b'A143',b'A153',2.0,b'A173',1.0,b'A192',b'A201',1
341,b'A11',21.0,b'A32',b'A42',3599.0,b'A61',b'A74',1.0,b'A92',b'A101',4.0,b'A123',26.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
342,b'A12',18.0,b'A32',b'A43',3213.0,b'A63',b'A72',1.0,b'A94',b'A101',3.0,b'A121',25.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
343,b'A12',18.0,b'A32',b'A49',4439.0,b'A61',b'A75',1.0,b'A93',b'A102',1.0,b'A121',33.0,b'A141',b'A152',1.0,b'A174',1.0,b'A192',b'A201',1
344,b'A13',10.0,b'A32',b'A40',3949.0,b'A61',b'A72',1.0,b'A93',b'A103',1.0,b'A122',37.0,b'A143',b'A152',1.0,b'A172',2.0,b'A191',b'A201',1
345,b'A14',15.0,b'A34',b'A43',1459.0,b'A61',b'A73',4.0,b'A92',b'A101',2.0,b'A123',43.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
346,b'A12',13.0,b'A34',b'A43',882.0,b'A61',b'A72',4.0,b'A93',b'A103',4.0,b'A121',23.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
347,b'A12',24.0,b'A32',b'A43',3758.0,b'A63',b'A71',1.0,b'A92',b'A101',4.0,b'A124',23.0,b'A143',b'A151',1.0,b'A171',1.0,b'A191',b'A201',1
348,b'A14',6.0,b'A33',b'A49',1743.0,b'A62',b'A73',1.0,b'A93',b'A101',2.0,b'A121',34.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
349,b'A12',9.0,b'A34',b'A46',1136.0,b'A64',b'A75',4.0,b'A93',b'A101',3.0,b'A124',32.0,b'A143',b'A153',2.0,b'A173',2.0,b'A191',b'A201',2
350,b'A14',9.0,b'A32',b'A44',1236.0,b'A61',b'A72',1.0,b'A92',b'A101',4.0,b'A121',23.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
351,b'A12',9.0,b'A32',b'A42',959.0,b'A61',b'A73',1.0,b'A92',b'A101',2.0,b'A123',29.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A202',2
352,b'A14',18.0,b'A34',b'A41',3229.0,b'A65',b'A71',2.0,b'A93',b'A101',4.0,b'A124',38.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',1
353,b'A11',12.0,b'A30',b'A43',6199.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A122',28.0,b'A143',b'A151',2.0,b'A173',1.0,b'A192',b'A201',2
354,b'A14',10.0,b'A32',b'A46',727.0,b'A63',b'A75',4.0,b'A93',b'A101',4.0,b'A124',46.0,b'A143',b'A153',1.0,b'A173',1.0,b'A192',b'A201',1
355,b'A12',24.0,b'A32',b'A40',1246.0,b'A61',b'A72',4.0,b'A93',b'A101',2.0,b'A121',23.0,b'A142',b'A152',1.0,b'A172',1.0,b'A191',b'A201',2
356,b'A14',12.0,b'A34',b'A43',2331.0,b'A65',b'A75',1.0,b'A93',b'A102',4.0,b'A121',49.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
357,b'A14',36.0,b'A33',b'A43',4463.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A123',26.0,b'A143',b'A152',2.0,b'A174',1.0,b'A192',b'A201',2
358,b'A14',12.0,b'A32',b'A43',776.0,b'A61',b'A73',4.0,b'A94',b'A101',2.0,b'A121',28.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
359,b'A11',30.0,b'A32',b'A42',2406.0,b'A61',b'A74',4.0,b'A92',b'A101',4.0,b'A121',23.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
360,b'A12',18.0,b'A32',b'A46',1239.0,b'A65',b'A73',4.0,b'A93',b'A101',4.0,b'A124',61.0,b'A143',b'A153',1.0,b'A173',1.0,b'A191',b'A201',1
361,b'A13',12.0,b'A32',b'A43',3399.0,b'A65',b'A75',2.0,b'A93',b'A101',3.0,b'A123',37.0,b'A143',b'A152',1.0,b'A174',1.0,b'A191',b'A201',1
362,b'A13',12.0,b'A33',b'A40',2247.0,b'A61',b'A73',2.0,b'A92',b'A101',2.0,b'A123',36.0,b'A142',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
363,b'A14',6.0,b'A32',b'A42',1766.0,b'A61',b'A73',1.0,b'A94',b'A101',2.0,b'A122',21.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
364,b'A11',18.0,b'A32',b'A42',2473.0,b'A61',b'A71',4.0,b'A93',b'A101',1.0,b'A123',25.0,b'A143',b'A152',1.0,b'A171',1.0,b'A191',b'A201',2
365,b'A14',12.0,b'A32',b'A49',1542.0,b'A61',b'A74',2.0,b'A93',b'A101',4.0,b'A123',36.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
366,b'A14',18.0,b'A34',b'A41',3850.0,b'A61',b'A74',3.0,b'A93',b'A101',1.0,b'A123',27.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
367,b'A11',18.0,b'A32',b'A42',3650.0,b'A61',b'A72',1.0,b'A92',b'A101',4.0,b'A123',22.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
368,b'A11',36.0,b'A32',b'A42',3446.0,b'A61',b'A75',4.0,b'A93',b'A101',2.0,b'A123',42.0,b'A143',b'A152',1.0,b'A173',2.0,b'A191',b'A201',2
369,b'A12',18.0,b'A32',b'A42',3001.0,b'A61',b'A74',2.0,b'A92',b'A101',4.0,b'A121',40.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
370,b'A14',36.0,b'A32',b'A40',3079.0,b'A65',b'A73',4.0,b'A93',b'A101',4.0,b'A121',36.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
371,b'A14',18.0,b'A34',b'A43',6070.0,b'A61',b'A75',3.0,b'A93',b'A101',4.0,b'A123',33.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
372,b'A14',10.0,b'A34',b'A42',2146.0,b'A61',b'A72',1.0,b'A92',b'A101',3.0,b'A121',23.0,b'A143',b'A151',2.0,b'A173',1.0,b'A191',b'A201',1
373,b'A14',60.0,b'A34',b'A40',13756.0,b'A65',b'A75',2.0,b'A93',b'A101',4.0,b'A124',63.0,b'A141',b'A153',1.0,b'A174',1.0,b'A192',b'A201',1
374,b'A12',60.0,b'A31',b'A41',14782.0,b'A62',b'A75',3.0,b'A92',b'A101',4.0,b'A124',60.0,b'A141',b'A153',2.0,b'A174',1.0,b'A192',b'A201',2
375,b'A11',48.0,b'A31',b'A49',7685.0,b'A61',b'A74',2.0,b'A92',b'A103',4.0,b'A123',37.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
376,b'A14',18.0,b'A33',b'A43',2320.0,b'A61',b'A71',2.0,b'A94',b'A101',3.0,b'A121',34.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
377,b'A14',7.0,b'A33',b'A43',846.0,b'A65',b'A75',3.0,b'A93',b'A101',4.0,b'A124',36.0,b'A143',b'A153',1.0,b'A173',1.0,b'A191',b'A201',1
378,b'A12',36.0,b'A32',b'A40',14318.0,b'A61',b'A75',4.0,b'A93',b'A101',2.0,b'A124',57.0,b'A143',b'A153',1.0,b'A174',1.0,b'A192',b'A201',2
379,b'A14',6.0,b'A34',b'A40',362.0,b'A62',b'A73',4.0,b'A92',b'A101',4.0,b'A123',52.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
380,b'A11',20.0,b'A32',b'A42',2212.0,b'A65',b'A74',4.0,b'A93',b'A101',4.0,b'A123',39.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
381,b'A12',18.0,b'A32',b'A41',12976.0,b'A61',b'A71',3.0,b'A92',b'A101',4.0,b'A124',38.0,b'A143',b'A153',1.0,b'A174',1.0,b'A192',b'A201',2
382,b'A14',22.0,b'A32',b'A40',1283.0,b'A65',b'A74',4.0,b'A92',b'A101',4.0,b'A122',25.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
383,b'A13',12.0,b'A32',b'A40',1330.0,b'A61',b'A72',4.0,b'A93',b'A101',1.0,b'A121',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
384,b'A14',30.0,b'A33',b'A49',4272.0,b'A62',b'A73',2.0,b'A93',b'A101',2.0,b'A122',26.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
385,b'A14',18.0,b'A34',b'A43',2238.0,b'A61',b'A73',2.0,b'A92',b'A101',1.0,b'A123',25.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
386,b'A14',18.0,b'A32',b'A43',1126.0,b'A65',b'A72',4.0,b'A92',b'A101',2.0,b'A121',21.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
387,b'A12',18.0,b'A34',b'A42',7374.0,b'A61',b'A71',4.0,b'A93',b'A101',4.0,b'A122',40.0,b'A142',b'A152',2.0,b'A174',1.0,b'A192',b'A201',1
388,b'A12',15.0,b'A34',b'A49',2326.0,b'A63',b'A73',2.0,b'A93',b'A101',4.0,b'A123',27.0,b'A141',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
389,b'A14',9.0,b'A32',b'A49',1449.0,b'A61',b'A74',3.0,b'A92',b'A101',2.0,b'A123',27.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
390,b'A14',18.0,b'A32',b'A40',1820.0,b'A61',b'A73',2.0,b'A94',b'A101',2.0,b'A122',30.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',1
391,b'A12',12.0,b'A32',b'A42',983.0,b'A64',b'A72',1.0,b'A92',b'A101',4.0,b'A121',19.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
392,b'A11',36.0,b'A32',b'A40',3249.0,b'A61',b'A74',2.0,b'A93',b'A101',4.0,b'A124',39.0,b'A141',b'A153',1.0,b'A174',2.0,b'A192',b'A201',1
393,b'A11',6.0,b'A34',b'A43',1957.0,b'A61',b'A74',1.0,b'A92',b'A101',4.0,b'A123',31.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
394,b'A14',9.0,b'A34',b'A42',2406.0,b'A61',b'A71',2.0,b'A93',b'A101',3.0,b'A123',31.0,b'A143',b'A152',1.0,b'A174',1.0,b'A191',b'A201',1
395,b'A12',39.0,b'A33',b'A46',11760.0,b'A62',b'A74',2.0,b'A93',b'A101',3.0,b'A124',32.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
396,b'A11',12.0,b'A32',b'A42',2578.0,b'A61',b'A71',3.0,b'A92',b'A101',4.0,b'A124',55.0,b'A143',b'A153',1.0,b'A174',1.0,b'A191',b'A201',1
397,b'A11',36.0,b'A34',b'A42',2348.0,b'A61',b'A73',3.0,b'A94',b'A101',2.0,b'A122',46.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
398,b'A12',12.0,b'A32',b'A40',1223.0,b'A61',b'A75',1.0,b'A91',b'A101',1.0,b'A121',46.0,b'A143',b'A151',2.0,b'A173',1.0,b'A191',b'A201',2
399,b'A14',24.0,b'A34',b'A43',1516.0,b'A64',b'A73',4.0,b'A92',b'A101',1.0,b'A121',43.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
400,b'A14',18.0,b'A32',b'A43',1473.0,b'A61',b'A72',3.0,b'A94',b'A101',4.0,b'A121',39.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
401,b'A12',18.0,b'A34',b'A49',1887.0,b'A65',b'A73',4.0,b'A94',b'A101',4.0,b'A121',28.0,b'A141',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
402,b'A14',24.0,b'A33',b'A49',8648.0,b'A61',b'A72',2.0,b'A93',b'A101',2.0,b'A123',27.0,b'A141',b'A152',2.0,b'A173',1.0,b'A192',b'A201',2
403,b'A14',14.0,b'A33',b'A40',802.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A123',27.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
404,b'A12',18.0,b'A33',b'A40',2899.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A123',43.0,b'A143',b'A152',1.0,b'A173',2.0,b'A191',b'A201',1
405,b'A12',24.0,b'A32',b'A43',2039.0,b'A61',b'A72',1.0,b'A94',b'A101',1.0,b'A122',22.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',2
406,b'A14',24.0,b'A34',b'A41',2197.0,b'A65',b'A74',4.0,b'A93',b'A101',4.0,b'A123',43.0,b'A143',b'A152',2.0,b'A173',2.0,b'A192',b'A201',1
407,b'A11',15.0,b'A32',b'A43',1053.0,b'A61',b'A72',4.0,b'A94',b'A101',2.0,b'A121',27.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A202',1
408,b'A14',24.0,b'A32',b'A43',3235.0,b'A63',b'A75',3.0,b'A91',b'A101',2.0,b'A123',26.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',1
409,b'A13',12.0,b'A34',b'A40',939.0,b'A63',b'A74',4.0,b'A94',b'A101',2.0,b'A121',28.0,b'A143',b'A152',3.0,b'A173',1.0,b'A192',b'A201',2
410,b'A12',24.0,b'A32',b'A43',1967.0,b'A61',b'A75',4.0,b'A92',b'A101',4.0,b'A123',20.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
411,b'A14',33.0,b'A34',b'A41',7253.0,b'A61',b'A74',3.0,b'A93',b'A101',2.0,b'A123',35.0,b'A143',b'A152',2.0,b'A174',1.0,b'A192',b'A201',1
412,b'A14',12.0,b'A34',b'A49',2292.0,b'A61',b'A71',4.0,b'A93',b'A101',2.0,b'A123',42.0,b'A142',b'A152',2.0,b'A174',1.0,b'A192',b'A201',2
413,b'A14',10.0,b'A32',b'A40',1597.0,b'A63',b'A73',3.0,b'A93',b'A101',2.0,b'A124',40.0,b'A143',b'A151',1.0,b'A172',2.0,b'A191',b'A202',1
414,b'A11',24.0,b'A32',b'A40',1381.0,b'A65',b'A73',4.0,b'A92',b'A101',2.0,b'A122',35.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
415,b'A14',36.0,b'A34',b'A41',5842.0,b'A61',b'A75',2.0,b'A93',b'A101',2.0,b'A122',35.0,b'A143',b'A152',2.0,b'A173',2.0,b'A192',b'A201',1
416,b'A11',12.0,b'A32',b'A40',2579.0,b'A61',b'A72',4.0,b'A93',b'A101',1.0,b'A121',33.0,b'A143',b'A152',1.0,b'A172',2.0,b'A191',b'A201',2
417,b'A11',18.0,b'A33',b'A46',8471.0,b'A65',b'A73',1.0,b'A92',b'A101',2.0,b'A123',23.0,b'A143',b'A151',2.0,b'A173',1.0,b'A192',b'A201',1
418,b'A14',21.0,b'A32',b'A40',2782.0,b'A63',b'A74',1.0,b'A92',b'A101',2.0,b'A123',31.0,b'A141',b'A152',1.0,b'A174',1.0,b'A191',b'A201',1
419,b'A12',18.0,b'A32',b'A40',1042.0,b'A65',b'A73',4.0,b'A92',b'A101',2.0,b'A122',33.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
420,b'A14',15.0,b'A32',b'A40',3186.0,b'A64',b'A74',2.0,b'A92',b'A101',3.0,b'A123',20.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
